"","Accession.Number","Bimp","GeneID","Locus","Protein.Name"
"8125","XP_012241083.1","BIMP17858",100740097,"LOC100740097","DNA polymerase zeta catalytic subunit isoform X6"
"8126","XP_012241084.1","BIMP17859",100750195,"LOC100750195","putative uncharacterized protein DDB_G0282133 isoform X1"
"8127","XP_012241086.1","BIMP17878",100746379,"LOC100746379","tyrosine-protein phosphatase corkscrew isoform X2"
"8128","XP_012241087.1","BIMP17878",100746379,"LOC100746379","tyrosine-protein phosphatase corkscrew isoform X2"
"8129","XP_012241088.1","BIMP24739",100750018,"LOC100750018","transmembrane protein 131 isoform X1"
"8130","XP_012241089.1","BIMP17890",105680760,"LOC105680760","WD repeat-containing protein 6 isoform X1"
"8131","XP_012241092.1","BIMP17842",100749170,"LOC100749170","putative glutathione-specific gamma-glutamylcyclotransferase 2"
"8132","XP_012241093.1","BIMP24739",100750018,"LOC100750018","transmembrane protein 131 isoform X2"
"8133","XP_012241096.1","BIMP17868",100744417,"LOC100744417","tyrosine-protein kinase Btk29A isoform X1"
"8134","XP_012241097.1","BIMP17856",100746140,"LOC100746140","palmitoyltransferase ZDHHC15B isoform X2"
"8135","XP_012241098.1","BIMP17856",100746140,"LOC100746140","palmitoyltransferase ZDHHC15B isoform X3"
"8136","XP_012241099.1","BIMP17856",100746140,"LOC100746140","palmitoyltransferase ZDHHC15B isoform X5"
"8137","XP_012241100.1","BIMP17856",100746140,"LOC100746140","palmitoyltransferase ZDHHC15B isoform X6"
"8138","XP_012241101.1","BIMP17856",100746140,"LOC100746140","palmitoyltransferase ZDHHC15B isoform X9"
"8139","XP_012241102.1","BIMP24740",100740001,"LOC100740001","protein ABHD18 isoform X1"
"8140","XP_012241103.1","BIMP17843",100749052,"LOC100749052","cyclin G"
"8141","XP_012241104.1","BIMP17843",100749052,"LOC100749052","cyclin G"
"8142","XP_012241105.1","BIMP17869",100744538,"LOC100744538","nitrilase and fragile histidine triad fusion protein NitFhit isoform X3"
"8143","XP_012241106.1","BIMP17848",100747646,"LOC100747646","la-related protein 7"
"8144","XP_012241107.1","BIMP17848",100747646,"LOC100747646","la-related protein 7"
"8145","XP_012241108.1","BIMP17848",100747646,"LOC100747646","la-related protein 7"
"8146","XP_012241109.1","BIMP17893",100749644,"LOC100749644","codanin-1 isoform X1"
"8147","XP_012241110.1","BIMP24740",100740001,"LOC100740001","protein ABHD18 isoform X3"
"8148","XP_012241117.1","BIMP11773",105680765,"LOC105680765","putative fatty acyl-CoA reductase CG5065"
"8149","XP_012241119.1","BIMP18697",105680768,"LOC105680768","uncharacterized protein LOC105680768"
"8150","XP_012241120.1","BIMP18712",105680769,"LOC105680769","uncharacterized protein LOC105680769"
"8151","XP_012241122.1","BIMP17091",100741067,"LOC100741067","vitellogenin receptor isoform X1"
"8152","XP_012241123.1","BIMP17092",100741304,"LOC100741304","far upstream element-binding protein 3"
"8153","XP_012241124.1","BIMP17092",100741304,"LOC100741304","far upstream element-binding protein 3"
"8154","XP_012241127.1","BIMP17084",100741547,"LOC100741547","peptidyl-prolyl cis-trans isomerase FKBP4 isoform X2"
"8155","XP_012241128.1","BIMP17085",100741427,"LOC100741427","GMP reductase 1 isoform X2"
"8156","XP_012241129.1","BIMP17094",100741907,"LOC100741907","farnesol dehydrogenase"
"8157","XP_012241131.1","BIMP17089",100742512,"LOC100742512","leucine-rich repeat-containing protein 24-like"
"8158","XP_012241132.1","BIMP14524",100746059,"LOC100746059","insulin-like growth factor-binding protein-related protein 1"
"8159","XP_012241135.1","BIMP14505",100746537,"LOC100746537","transcription factor collier isoform X1"
"8160","XP_012241136.1","BIMP14530",100744658,"LOC100744658","endoplasmic reticulum aminopeptidase 1 isoform X1"
"8161","XP_012241137.1","BIMP24708",100744872,"LOC100744872","protein Abitram"
"8162","XP_012241138.1","BIMP14530",100744658,"LOC100744658","endoplasmic reticulum aminopeptidase 1 isoform X2"
"8163","XP_012241139.1","BIMP14530",100744658,"LOC100744658","endoplasmic reticulum aminopeptidase 1 isoform X3"
"8164","XP_012241140.1","BIMP14530",100744658,"LOC100744658","endoplasmic reticulum aminopeptidase 1 isoform X4"
"8165","XP_012241141.1","BIMP14532",100744774,"LOC100744774","segmentation protein cap\\'n\\'collar isoform X2"
"8166","XP_012241142.1","BIMP14532",100744774,"LOC100744774","segmentation protein cap\\'n\\'collar isoform X3"
"8167","XP_012241143.1","BIMP14532",100744774,"LOC100744774","segmentation protein cap\\'n\\'collar isoform X5"
"8168","XP_012241144.1","BIMP14532",100744774,"LOC100744774","segmentation protein cap\\'n\\'collar isoform X6"
"8169","XP_012241146.1","BIMP24709",100741048,"LOC100741048","UMP-CMP kinase isoform X1"
"8170","XP_012241147.1","BIMP14511",100743501,"LOC100743501","ferrochelatase, mitochondrial"
"8171","XP_012241148.1","BIMP14526",100743745,"LOC100743745","EEF1A lysine methyltransferase 2"
"8172","XP_012241152.1","BIMP14518",100745822,"LOC100745822","ER membrane protein complex subunit 2 isoform X2"
"8173","XP_012241153.1","BIMP14518",100745822,"LOC100745822","ER membrane protein complex subunit 2 isoform X2"
"8174","XP_012241155.1","BIMP14517",100743020,"LOC100743020","hemicentin-1"
"8175","XP_012241156.1","BIMP14535",100745016,"LOC100745016","uncharacterized protein LOC100745016 isoform X1"
"8176","XP_012241157.1","BIMP14535",100745016,"LOC100745016","uncharacterized protein LOC100745016 isoform X3"
"8177","XP_012241161.1","BIMP14502",100746658,"LOC100746658","uncharacterized protein LOC100746658 isoform X2"
"8178","XP_012241162.1","BIMP14503",105680777,"LOC105680777","uncharacterized protein LOC105680777"
"8179","XP_012241163.1","BIMP14520",100743979,"LOC100743979","BRCA1-associated protein isoform X2"
"8180","XP_012241165.1","BIMP14525",100743261,"LOC100743261","trace amine-associated receptor 9 isoform X1"
"8181","XP_012241167.1","BIMP14525",100743261,"LOC100743261","trace amine-associated receptor 9 isoform X1"
"8182","XP_012241168.1","BIMP14525",100743261,"LOC100743261","trace amine-associated receptor 9 isoform X2"
"8183","XP_012241172.1","BIMP20787",100747208,"LOC100747208","venom carboxylesterase-6-like"
"8184","XP_012241174.1","BIMP19050",105680779,"LOC105680779","nucleolar protein of 40 kDa-like isoform X1"
"8185","XP_012241179.1","BIMP19052",100747448,"LOC100747448","cyclin-dependent kinase-like 4 isoform X2"
"8186","XP_012241180.1","BIMP19052",100747448,"LOC100747448","cyclin-dependent kinase-like 4 isoform X3"
"8187","XP_012241182.1","BIMP20981",105680782,"LOC105680782","uncharacterized transmembrane protein DDB_G0289901-like"
"8188","XP_012241183.1","BIMP20975",100748766,"LOC100748766","neural/ectodermal development factor IMP-L2 isoform X2"
"8189","XP_012241186.1","BIMP20981",105680783,"LOC105680783","protein spaetzle-like"
"8190","XP_012241191.1","BIMP20987",100748369,"LOC100748369","monocarboxylate transporter 10 isoform X1"
"8191","XP_012241192.1","BIMP20987",100748369,"LOC100748369","monocarboxylate transporter 10 isoform X1"
"8192","XP_012241194.1","BIMP20987",100748369,"LOC100748369","monocarboxylate transporter 10 isoform X1"
"8193","XP_012241196.1","BIMP20987",100748369,"LOC100748369","monocarboxylate transporter 10 isoform X2"
"8194","XP_012241200.1","BIMP20972",100749444,"LOC100749444","integumentary mucin C.1-like"
"8195","XP_012241201.1","BIMP20985",105680785,"LOC105680785","putative methyltransferase C9orf114 homolog"
"8196","XP_012241202.1","BIMP20979",105680786,"LOC105680786","pancreatic triacylglycerol lipase"
"8197","XP_012241204.1","BIMP20977",105680787,"LOC105680787","transcription initiation factor TFIID subunit 13 isoform X1"
"8198","XP_012241205.1","BIMP20977",105680787,"LOC105680787","transcription initiation factor TFIID subunit 13 isoform X2"
"8199","XP_012241206.1","BIMP20977",105680787,"LOC105680787","transcription initiation factor TFIID subunit 13 isoform X2"
"8200","XP_012241207.1","BIMP24694",100743725,"LOC100743725","ankyrin repeat and BTB/POZ domain-containing protein BTBD11 isoform X2"
"8201","XP_012241208.1","BIMP12724",100740867,"LOC100740867","potassium channel subfamily T member 2 isoform X1"
"8202","XP_012241209.1","BIMP12724",100740867,"LOC100740867","potassium channel subfamily T member 2 isoform X2"
"8203","XP_012241212.1","BIMP12724",100740867,"LOC100740867","potassium channel subfamily T member 2 isoform X8"
"8204","XP_012241213.1","BIMP24694",100743725,"LOC100743725","ankyrin repeat and BTB/POZ domain-containing protein BTBD11 isoform X3"
"8205","XP_012241214.1","BIMP12724",100740867,"LOC100740867","potassium channel subfamily T member 2 isoform X10"
"8206","XP_012241216.1","BIMP12732",100740144,"LOC100740144","uncharacterized protein LOC100740144 isoform X3"
"8207","XP_012241216.1","BIMP12731",100740144,"LOC100740144","uncharacterized protein LOC100740144 isoform X3"
"8208","XP_012241224.1","BIMP12735",100740388,"LOC100740388","myrosinase 1"
"8209","XP_012241226.1","BIMP21798",100741941,"LOC100741941","RNA-binding region-containing protein 3 isoform X2"
"8210","XP_012241227.1","BIMP21813",100742302,"LOC100742302","ethanolamine-phosphate cytidylyltransferase isoform X1"
"8211","XP_012241228.1","BIMP24752",100743609,"LOC100743609","syntaxin-12 isoform X1"
"8212","XP_012241229.1","BIMP21813",100742302,"LOC100742302","ethanolamine-phosphate cytidylyltransferase isoform X2"
"8213","XP_012241232.1","BIMP21796",100742549,"LOC100742549","maternal protein exuperantia"
"8214","XP_012241233.1","BIMP21796",100742549,"LOC100742549","maternal protein exuperantia"
"8215","XP_012241234.1","BIMP21805",100741343,"LOC100741343","Usher syndrome type-1G protein homolog isoform X2"
"8216","XP_012241236.1","BIMP21811",100742182,"LOC100742182","ATP-dependent RNA helicase dbp2 isoform X2"
"8217","XP_012241236.1","BIMP21812",100742182,"LOC100742182","ATP-dependent RNA helicase dbp2 isoform X2"
"8218","XP_012241239.1","BIMP24702",100741806,"LOC100741806","uncharacterized protein LOC100741806 isoform X1"
"8219","XP_012241239.1","BIMP24704",100741806,"LOC100741806","uncharacterized protein LOC100741806 isoform X1"
"8220","XP_012241240.1","BIMP21806",100741582,"LOC100741582","regulation of nuclear pre-mRNA domain-containing protein 1B isoform X2"
"8221","XP_012241251.1","BIMP22831",100740175,"LOC100740175","syntaxin-1A isoform X1"
"8222","XP_012241253.1","BIMP22831",100740175,"LOC100740175","syntaxin-1A isoform X2"
"8223","XP_012241254.1","BIMP22831",100740175,"LOC100740175","syntaxin-1A isoform X4"
"8224","XP_012241255.1","BIMP22831",100740175,"LOC100740175","syntaxin-1A isoform X5"
"8225","XP_012241256.1","BIMP22831",100740175,"LOC100740175","syntaxin-1A isoform X6"
"8226","XP_012241257.1","BIMP22896",100747095,"LOC100747095","GTP-binding nuclear protein Ran"
"8227","XP_012241258.1","BIMP22896",100747095,"LOC100747095","GTP-binding nuclear protein Ran"
"8228","XP_012241259.1","BIMP22899",105680796,"LOC105680796","transmembrane protein 222"
"8229","XP_012241260.1","BIMP22828",100747328,"LOC100747328","uncharacterized protein LOC100747328"
"8230","XP_012241262.1","BIMP24744",100741686,"LOC100741686","uncharacterized protein LOC100741686 isoform X2"
"8231","XP_012241264.1","BIMP22898",100747209,"LOC100747209","LOW QUALITY PROTEIN: uncharacterized protein LOC100747209"
"8232","XP_012241266.1","BIMP22886",100749682,"LOC100749682","uncharacterized protein LOC100749682 isoform X1"
"8233","XP_012241267.1","BIMP22886",100749682,"LOC100749682","uncharacterized protein LOC100749682 isoform X2"
"8234","XP_012241269.1","BIMP22843",100749563,"LOC100749563","PMS1 protein homolog 1 isoform X1"
"8235","XP_012241270.1","BIMP22844",100745536,"LOC100745536","casein kinase II subunit alpha isoform X1"
"8236","XP_012241271.1","BIMP22844",100745536,"LOC100745536","casein kinase II subunit alpha isoform X2"
"8237","XP_012241273.1","BIMP24744",100741686,"LOC100741686","uncharacterized protein LOC100741686 isoform X2"
"8238","XP_012241277.1","BIMP22907",100748370,"LOC100748370","nuclear pore complex protein Nup98-Nup96 isoform X3"
"8239","XP_012241279.1","BIMP22907",100748370,"LOC100748370","nuclear pore complex protein Nup98-Nup96 isoform X5"
"8240","XP_012241282.1","BIMP22823",100748133,"LOC100748133","protein scarlet isoform X1"
"8241","XP_012241283.1","BIMP22906",105680797,"LOC105680797","protein Spindly isoform X1"
"8242","XP_012241284.1","BIMP22906",105680797,"LOC105680797","protein Spindly isoform X1"
"8243","XP_012241290.1","BIMP22854",100743746,"LOC100743746","putative RNA-binding protein Luc7-like 1 isoform X3"
"8244","XP_012241293.1","BIMP24750",100743089,"LOC100743089","glycine receptor subunit alpha-4 isoform X3"
"8245","XP_012241295.1","BIMP22894",100740051,"LOC100740051","T-cell immunomodulatory protein"
"8246","XP_012241297.1","BIMP22893",100750151,"LOC100750151","putative inorganic phosphate cotransporter isoform X2"
"8247","XP_012241298.1","BIMP22893",100750151,"LOC100750151","putative inorganic phosphate cotransporter isoform X3"
"8248","XP_012241299.1","BIMP22893",100750151,"LOC100750151","putative inorganic phosphate cotransporter isoform X4"
"8249","XP_012241302.1","BIMP22893",100750151,"LOC100750151","putative inorganic phosphate cotransporter isoform X6"
"8250","XP_012241303.1","BIMP22833",105680799,"LOC105680799","cyclin-dependent-like kinase 5"
"8251","XP_012241304.1","BIMP22892",105680800,"LOC105680800","dynactin subunit 5 isoform X2"
"8252","XP_012241305.1","BIMP22846",100749324,"LOC100749324","uncharacterized protein LOC100749324 isoform X1"
"8253","XP_012241305.1","BIMP22847",100749324,"LOC100749324","uncharacterized protein LOC100749324 isoform X1"
"8254","XP_012241306.1","BIMP22847",100749324,"LOC100749324","uncharacterized protein LOC100749324 isoform X2"
"8255","XP_012241306.1","BIMP22846",100749324,"LOC100749324","uncharacterized protein LOC100749324 isoform X2"
"8256","XP_012241307.1","BIMP22847",100749324,"LOC100749324","uncharacterized protein LOC100749324 isoform X3"
"8257","XP_012241307.1","BIMP22846",100749324,"LOC100749324","uncharacterized protein LOC100749324 isoform X3"
"8258","XP_012241308.1","BIMP22882",100745051,"LOC100745051","ubiquitin-protein ligase E3C isoform X1"
"8259","XP_012241309.1","BIMP22882",100745051,"LOC100745051","ubiquitin-protein ligase E3C isoform X2"
"8260","XP_012241310.1","BIMP22881",105680801,"LOC105680801","carbohydrate sulfotransferase 9"
"8261","XP_012241311.1","BIMP22891",100746615,"LOC100746615","protein kinase C, brain isozyme isoform X2"
"8262","XP_012241312.1","BIMP22891",100746615,"LOC100746615","protein kinase C, brain isozyme isoform X3"
"8263","XP_012241313.1","BIMP24750",100743089,"LOC100743089","glycine receptor subunit alpha-1 isoform X9"
"8264","XP_012241315.1","BIMP22836",100746734,"LOC100746734","BMP-binding endothelial regulator protein isoform X1"
"8265","XP_012241316.1","BIMP22836",100746734,"LOC100746734","BMP-binding endothelial regulator protein isoform X1"
"8266","XP_012241318.1","BIMP22836",100746734,"LOC100746734","BMP-binding endothelial regulator protein isoform X3"
"8267","XP_012241319.1","BIMP22837",105680802,"LOC105680802","uncharacterized protein LOC105680802"
"8268","XP_012241321.1","BIMP22876",100743901,"LOC100743901","histone-arginine methyltransferase CARMER isoform X1"
"8269","XP_012241323.1","BIMP22853",100744136,"LOC100744136","annexin B9 isoform X1"
"8270","XP_012241324.1","BIMP22853",100744136,"LOC100744136","annexin B9 isoform X1"
"8271","XP_012241325.1","BIMP22853",100744136,"LOC100744136","annexin B11 isoform X2"
"8272","XP_012241326.1","BIMP22853",100744136,"LOC100744136","annexin B11 isoform X2"
"8273","XP_012241327.1","BIMP22850",100744568,"LOC100744568","single-stranded DNA-binding protein 3 isoform X1"
"8274","XP_012241328.1","BIMP22850",100744568,"LOC100744568","single-stranded DNA-binding protein 3 isoform X2"
"8275","XP_012241330.1","BIMP22850",100744568,"LOC100744568","single-stranded DNA-binding protein 3 isoform X3"
"8276","XP_012241331.1","BIMP22850",100744568,"LOC100744568","single-stranded DNA-binding protein 3 isoform X4"
"8277","XP_012241332.1","BIMP22850",100744568,"LOC100744568","single-stranded DNA-binding protein 3 isoform X5"
"8278","XP_012241333.1","BIMP22878",100749206,"LOC100749206","ubiquitin-like-conjugating enzyme ATG10"
"8279","XP_012241334.1","BIMP22878",100749206,"LOC100749206","ubiquitin-like-conjugating enzyme ATG10"
"8280","XP_012241335.1","BIMP22878",100749206,"LOC100749206","ubiquitin-like-conjugating enzyme ATG10"
"8281","XP_012241336.1","BIMP22868",100742026,"LOC100742026","ceramide glucosyltransferase isoform X1"
"8282","XP_012241337.1","BIMP22868",100742026,"LOC100742026","ceramide glucosyltransferase isoform X2"
"8283","XP_012241338.1","BIMP22824",100747893,"LOC100747893","zinc finger protein 236 isoform X1"
"8284","XP_012241339.1","BIMP22824",100747893,"LOC100747893","zinc finger protein 236 isoform X2"
"8285","XP_012241340.1","BIMP22903",100747647,"LOC100747647","probable tRNA (uracil-O(2)-)-methyltransferase"
"8286","XP_012241345.1","BIMP22904",100748012,"LOC100748012","uncharacterized protein LOC100748012 isoform X8"
"8287","XP_012241348.1","BIMP24697",100742966,"LOC100742966","elongation of very long chain fatty acids protein 4-like"
